,total_count,cells,study_reference
SCGC--2303_D01,123498,hEPSC,This study
SCGC--2304_F04,737824,hEPSC,This study
SCGC--2304_H02,222256,hEPSC,This study
SCGC--2304_H09,626931,hEPSC,This study
SCGC--2304_F10,842607,hEPSC,This study
SCGC--2304_C06,759908,hEPSC,This study
SCGC--2304_E05,396376,hEPSC,This study
SCGC--2303_E09,752271,hEPSC,This study
SCGC--2304_D12,559128,hEPSC,This study
SCGC--2303_B07,502997,hEPSC,This study
SCGC--2303_F02,379232,hEPSC,This study
SCGC--2303_D05,526187,hEPSC,This study
SCGC--2303_F09,997919,hEPSC,This study
SCGC--2304_C01,265091,hEPSC,This study
SCGC--2303_B09,616320,hEPSC,This study
SCGC--2304_E11,668283,hEPSC,This study
SCGC--2303_H07,641926,hEPSC,This study
SCGC--2304_C08,698300,hEPSC,This study
SCGC--2304_E06,548873,hEPSC,This study
SCGC--2303_C01,280074,hEPSC,This study
SCGC--2303_D11,624619,hEPSC,This study
SCGC--2304_E04,392717,hEPSC,This study
SCGC--2303_E04,429331,hEPSC,This study
SCGC--2304_H08,489754,hEPSC,This study
SCGC--2304_E10,747812,hEPSC,This study
SCGC--2304_H05,798137,hEPSC,This study
SCGC--2304_H10,480886,hEPSC,This study
SCGC--2304_B04,450139,hEPSC,This study
SCGC--2304_F08,543057,hEPSC,This study
SCGC--2303_F04,519920,hEPSC,This study
SCGC--2304_C11,586946,hEPSC,This study
SCGC--2303_C02,535797,hEPSC,This study
SCGC--2303_D06,604349,hEPSC,This study
SCGC--2304_B02,476662,hEPSC,This study
SCGC--2304_B07,649437,hEPSC,This study
SCGC--2303_B04,565932,hEPSC,This study
SCGC--2303_B06,817721,hEPSC,This study
SCGC--2304_H03,555505,hEPSC,This study
SCGC--2304_B09,600020,hEPSC,This study
SCGC--2304_F12,451978,hEPSC,This study
SCGC--2303_F11,687830,hEPSC,This study
SCGC--2304_E09,606486,hEPSC,This study
SCGC--2304_H11,757128,hEPSC,This study
SCGC--2304_D05,620584,hEPSC,This study
SCGC--2303_C10,426671,hEPSC,This study
SCGC--2303_C04,739843,hEPSC,This study
SCGC--2304_D03,433365,hEPSC,This study
SCGC--2304_B06,1005517,hEPSC,This study
SCGC--2304_D06,446808,hEPSC,This study
SCGC--2303_H10,921409,hEPSC,This study
SCGC--2304_B11,772613,hEPSC,This study
SCGC--2303_E08,634187,hEPSC,This study
SCGC--2303_H04,464767,hEPSC,This study
SCGC--2304_D10,522727,hEPSC,This study
SCGC--2304_F07,432731,hEPSC,This study
SCGC--2303_H05,654710,hEPSC,This study
SCGC--2303_H09,867772,hEPSC,This study
SCGC--2304_H01,203986,hEPSC,This study
SCGC--2304_D08,619373,hEPSC,This study
SCGC--2303_C11,534009,hEPSC,This study
SCGC--2304_C10,786971,hEPSC,This study
SCGC--2304_E08,585789,hEPSC,This study
SCGC--2303_D09,500353,hEPSC,This study
SCGC--2303_C06,905914,hEPSC,This study
SCGC--2303_C07,961500,hEPSC,This study
SCGC--2304_C03,520779,hEPSC,This study
SCGC--2303_F05,624161,hEPSC,This study
SCGC--2303_F10,541583,hEPSC,This study
SCGC--2303_H03,833379,hEPSC,This study
SCGC--2303_H11,692449,hEPSC,This study
SCGC--2304_E12,466850,hEPSC,This study
SCGC--2304_E07,619454,hEPSC,This study
SCGC--2304_F03,513230,hEPSC,This study
SCGC--2303_D02,558351,hEPSC,This study
SCGC--2303_H12,767442,hEPSC,This study
SCGC--2303_D08,680021,hEPSC,This study
SCGC--2303_E07,441362,hEPSC,This study
SCGC--2304_B12,681254,hEPSC,This study
SCGC--2303_B11,634804,hEPSC,This study
SCGC--2303_B12,609639,hEPSC,This study
SCGC--2304_E02,374958,hEPSC,This study
SCGC--2303_C03,257044,hEPSC,This study
SCGC--2303_E10,647627,hEPSC,This study
SCGC--2304_B08,636718,hEPSC,This study
SCGC--2304_C09,675562,hEPSC,This study
SCGC--2303_E12,223113,hEPSC,This study
SCGC--2303_E05,444230,hEPSC,This study
SCGC--2304_C12,617538,hEPSC,This study
SCGC--2303_C09,940047,hEPSC,This study
SCGC--2303_C08,776043,hEPSC,This study
SCGC--2304_D02,364365,hEPSC,This study
SCGC--2303_D04,327078,hEPSC,This study
SCGC--2304_H06,714929,hEPSC,This study
SCGC--2304_F02,217725,hEPSC,This study
SCGC--2303_C12,320194,hEPSC,This study
SCGC--2304_D11,813834,hEPSC,This study
